"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1074044"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Inoviridae"	"Unclassified"	"uncultured phage WW-nAnB"
"1090133"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Enterobacteria phage IME10"
"1091556"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus LPB1"
"1105171"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Bacteroides phage B124-14"
"1124654"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Uetakevirus"	"Escherichia phage TL-2011b"
"1127357"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella phage SPN9CC"
"1141134"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Chivirus"	"Salmonella virus SPN19"
"1141138"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Cronobacter phage vB_CsaM_GAP161"
"1141525"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Autographiviridae"	"Phikmvvirus"	"Pseudomonas phage vB_Pae-TbilisiM32"
"1147140"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Salmonella phage SPN3UB"
"1147143"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Hendrixvirus"	"Enterobacteria phage HK140"
"1147144"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage HK225"
"1147149"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage mEp043 c-1"
"1147150"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Hendrixvirus"	"Enterobacteria phage mEp235"
"1147151"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage mEp237"
"1147152"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage mEp460"
