"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1581110"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	"Klebsiella sp. HMSC16C06"
"1581111"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. HMSC16D10"
"1581114"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus sp. HMSC05C03"
"1581146"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	"Klebsiella sp. HMSC09D12"
"1581179"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19A11"
"1581180"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19B01"
"1581181"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19B04"
"1581182"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19B10"
"1581185"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19C05"
"1581186"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19C08"
"1581187"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19C09"
"1581192"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. HMSC19E03"
"1585974"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Beduini"	"Beduini massiliensis"
"1586081"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. C5pp"
"1588748"	"Firmicutes"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Unclassified"	"Veillonellaceae bacterium KA00182"
"1588749"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Unclassified"	"Porphyromonadaceae bacterium KA00676"
